"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 47 ending November 26, 2022"	"2022/47"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 48 ending December 03, 2022"	"2022/48"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 49 ending December 10, 2022"	"2022/49"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 50 ending December 17, 2022"	"2022/50"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 51 ending December 24, 2022"	"2022/51"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 52 ending December 31, 2022"	"2022/52"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 01 ending January 08, 2022"	"2022/01"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 02 ending January 15, 2022"	"2022/02"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 03 ending January 22, 2022"	"2022/03"	25	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 04 ending January 29, 2022"	"2022/04"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 05 ending February 05, 2022"	"2022/05"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 06 ending February 12, 2022"	"2022/06"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 07 ending February 19, 2022"	"2022/07"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 08 ending February 26, 2022"	"2022/08"	31	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 09 ending March 05, 2022"	"2022/09"	19	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 10 ending March 12, 2022"	"2022/10"	30	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 11 ending March 19, 2022"	"2022/11"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 12 ending March 26, 2022"	"2022/12"	30	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 13 ending April 02, 2022"	"2022/13"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 14 ending April 09, 2022"	"2022/14"	20	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 15 ending April 16, 2022"	"2022/15"	21	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 16 ending April 23, 2022"	"2022/16"	27	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 17 ending April 30, 2022"	"2022/17"	26	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 18 ending May 07, 2022"	"2022/18"	24	Not Applicable	Not Applicable
	"North Carolina"	"37"	"25-29 years"	"25-29"	"2022 Week 19 ending May 14, 2022"	"2022/19"	24	Not Applicable	Not Applicable
