MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2021 Week 10 ending March 13, 2021",2021/10,55-59 years,55-59,3416,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,60-64 years ,60-64,4861,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,65-69 years,65-69,5864,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,70-74 years,70-74,7003,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,75-79 years,75-79,7360,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,80-84 years,80-84,7599,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,85-89 years,85-89,7734,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,90-94 years,90-94,6172,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,95-99 years,95-99,2766,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,100+ years,100+,598,Not Applicable,Not Applicable
"2021 Week 10 ending March 13, 2021",2021/10,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,< 1 year,1,365,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,1-4 years,1-4,65,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,5-9 years,5-9,42,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,10-14 years,10-14,56,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,15-19 years,15-19,239,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,20-24 years,20-24,471,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,25-29 years,25-29,678,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,30-34 years,30-34,811,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,35-39 years,35-39,966,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,40-44 years,40-44,1163,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,45-49 years,45-49,1479,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,50-54 years,50-54,2186,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,55-59 years,55-59,3325,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,60-64 years ,60-64,4769,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,65-69 years,65-69,5636,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,70-74 years,70-74,6787,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,75-79 years,75-79,7030,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,80-84 years,80-84,7441,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,85-89 years,85-89,7341,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,90-94 years,90-94,6018,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,95-99 years,95-99,2739,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,100+ years,100+,634,Not Applicable,Not Applicable
"2021 Week 11 ending March 20, 2021",2021/11,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,< 1 year,1,409,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,1-4 years,1-4,62,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,5-9 years,5-9,51,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,10-14 years,10-14,66,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,15-19 years,15-19,259,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,20-24 years,20-24,467,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,25-29 years,25-29,607,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,30-34 years,30-34,832,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,35-39 years,35-39,1028,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,40-44 years,40-44,1123,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,45-49 years,45-49,1529,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,50-54 years,50-54,2258,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,55-59 years,55-59,3446,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,60-64 years ,60-64,4815,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,65-69 years,65-69,5519,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,70-74 years,70-74,6830,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,75-79 years,75-79,7179,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,80-84 years,80-84,7446,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,85-89 years,85-89,7453,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,90-94 years,90-94,5969,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,95-99 years,95-99,2757,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,100+ years,100+,606,Not Applicable,Not Applicable
"2021 Week 12 ending March 27, 2021",2021/12,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,< 1 year,1,354,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,1-4 years,1-4,71,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,5-9 years,5-9,47,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,10-14 years,10-14,76,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,15-19 years,15-19,225,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,20-24 years,20-24,477,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,25-29 years,25-29,623,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,30-34 years,30-34,850,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,35-39 years,35-39,948,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,40-44 years,40-44,1210,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,45-49 years,45-49,1368,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,50-54 years,50-54,2212,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,55-59 years,55-59,3272,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,60-64 years ,60-64,4552,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,65-69 years,65-69,5638,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,70-74 years,70-74,6691,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,75-79 years,75-79,6832,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,80-84 years,80-84,7203,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,85-89 years,85-89,7066,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,90-94 years,90-94,5703,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,95-99 years,95-99,2592,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,100+ years,100+,556,Not Applicable,Not Applicable
"2021 Week 13 ending April 03, 2021",2021/13,Not Stated,NS,0,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,< 1 year,1,432,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,1-4 years,1-4,66,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,5-9 years,5-9,43,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,10-14 years,10-14,46,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,15-19 years,15-19,275,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,20-24 years,20-24,460,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,25-29 years,25-29,662,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,30-34 years,30-34,896,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,35-39 years,35-39,1014,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,40-44 years,40-44,1216,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,45-49 years,45-49,1544,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,50-54 years,50-54,2244,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,55-59 years,55-59,3512,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,60-64 years ,60-64,4880,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,65-69 years,65-69,5759,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,70-74 years,70-74,6928,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,75-79 years,75-79,7104,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,80-84 years,80-84,7336,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,85-89 years,85-89,7240,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,90-94 years,90-94,5948,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,95-99 years,95-99,2679,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,100+ years,100+,596,Not Applicable,Not Applicable
"2021 Week 14 ending April 10, 2021",2021/14,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,< 1 year,1,388,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,1-4 years,1-4,60,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,5-9 years,5-9,48,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,10-14 years,10-14,60,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,15-19 years,15-19,244,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,20-24 years,20-24,447,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,25-29 years,25-29,652,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,30-34 years,30-34,798,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,35-39 years,35-39,970,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,40-44 years,40-44,1196,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,45-49 years,45-49,1476,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,50-54 years,50-54,2245,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,55-59 years,55-59,3432,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,60-64 years ,60-64,4878,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,65-69 years,65-69,5677,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,70-74 years,70-74,6640,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,75-79 years,75-79,6793,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,80-84 years,80-84,7058,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,85-89 years,85-89,7129,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,90-94 years,90-94,5622,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,95-99 years,95-99,2683,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,100+ years,100+,521,Not Applicable,Not Applicable
"2021 Week 15 ending April 17, 2021",2021/15,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,< 1 year,1,373,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,1-4 years,1-4,78,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,5-9 years,5-9,44,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,10-14 years,10-14,62,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,15-19 years,15-19,284,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,20-24 years,20-24,504,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,25-29 years,25-29,639,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,30-34 years,30-34,870,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,35-39 years,35-39,977,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,40-44 years,40-44,1190,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,45-49 years,45-49,1449,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,50-54 years,50-54,2248,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,55-59 years,55-59,3574,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,60-64 years ,60-64,4874,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,65-69 years,65-69,5663,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,70-74 years,70-74,6845,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,75-79 years,75-79,7013,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,80-84 years,80-84,7227,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,85-89 years,85-89,7177,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,90-94 years,90-94,5792,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,95-99 years,95-99,2666,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,100+ years,100+,592,Not Applicable,Not Applicable
"2021 Week 16 ending April 24, 2021",2021/16,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,< 1 year,1,367,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,1-4 years,1-4,90,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,5-9 years,5-9,51,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,10-14 years,10-14,71,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,15-19 years,15-19,248,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,20-24 years,20-24,496,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,25-29 years,25-29,650,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,30-34 years,30-34,824,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,35-39 years,35-39,917,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,40-44 years,40-44,1135,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,45-49 years,45-49,1530,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,50-54 years,50-54,2190,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,55-59 years,55-59,3384,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,60-64 years ,60-64,4907,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,65-69 years,65-69,5630,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,70-74 years,70-74,6889,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,75-79 years,75-79,6998,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,80-84 years,80-84,7202,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,85-89 years,85-89,7108,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,90-94 years,90-94,5782,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,95-99 years,95-99,2661,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,100+ years,100+,552,Not Applicable,Not Applicable
"2021 Week 17 ending May 01, 2021",2021/17,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,< 1 year,1,399,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,1-4 years,1-4,72,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,5-9 years,5-9,43,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,10-14 years,10-14,64,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,15-19 years,15-19,226,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,20-24 years,20-24,516,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,25-29 years,25-29,685,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,30-34 years,30-34,887,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,35-39 years,35-39,1007,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,40-44 years,40-44,1164,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,45-49 years,45-49,1468,Not Applicable,Not Applicable
"2021 Week 18 ending May 08, 2021",2021/18,50-54 years,50-54,2195,Not Applicable,Not Applicable
