MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 11 ending March 17, 2018",2018/11,65-69 years,65-69,4969,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,70-74 years,70-74,5739,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,75-79 years,75-79,6311,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,80-84 years,80-84,7124,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,85-89 years,85-89,7781,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,90-94 years,90-94,6493,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,95-99 years,95-99,2928,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,100+ years,100+,578,Not Applicable,Not Applicable
"2018 Week 11 ending March 17, 2018",2018/11,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,< 1 year,1,440,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,1-4 years,1-4,68,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,5-9 years,5-9,51,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,10-14 years,10-14,54,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,15-19 years,15-19,180,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,20-24 years,20-24,401,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,25-29 years,25-29,498,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,30-34 years,30-34,578,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,35-39 years,35-39,671,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,40-44 years,40-44,808,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,45-49 years,45-49,1216,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,50-54 years,50-54,1920,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,55-59 years,55-59,3068,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,60-64 years ,60-64,4245,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,65-69 years,65-69,4784,Not Applicable,Not Applicable
"2018 Week 12 ending March 24, 2018",2018/12,70-74 years,70-74,5571,Not Applicable,Not Applicable
